Player,Team,Opponent,Week,Total_Tackles,Solo_Tackles,Tackles_For_Loss,Sacks,QB_Hurries,Pass_Breakups,Interceptions,Interception_Return_Yards,Interception_Return_TDs,Fumbles_Recovered,Defensive_TDs
Isaiah Faga,Alabama,Florida State,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Lebbeus Overton,Alabama,Florida State,1,3.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0
Domani Jackson,Alabama,Florida State,1,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Jordan Renaud,Alabama,Florida State,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Zabien Brown,Alabama,Florida State,1,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Kelby Collins,Alabama,Florida State,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
James Smith,Alabama,Florida State,1,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Cameron Calhoun,Alabama,Florida State,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0
Brayson Hubbard,Alabama,Florida State,1,5.0,4.0,0.0,0.0,1.0,0.0,0,0,0,0.0,0
London Simmons,Alabama,Florida State,1,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Nikhai Hill-Green,Alabama,Florida State,1,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Edric Hill,Alabama,Florida State,1,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Jah-Marien Latham,Alabama,Florida State,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Dashawn Jones,Alabama,Florida State,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Keon Sabb,Alabama,Florida State,1,6.0,3.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0
Dijon Lee Jr.,Alabama,Florida State,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Yhonzae Pierre,Alabama,Florida State,1,4.0,4.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0
Qua Russaw,Alabama,Florida State,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Zay Mincey,Alabama,Florida State,1,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Justin Jefferson,Alabama,Florida State,1,6.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Deontae Lawson,Alabama,Florida State,1,6.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
