Player,Team,Opponent,Week,Rushing_Attempts,Rushing_Yards,Yards_Per_Carry,Rushing_TDs,Longest_Rush,Receptions,Receiving_Yards,Yards_Per_Reception,Receiving_TDs,Longest_Reception,All_Purpose_Yards,Fumbles,Fumbles_Lost
Josh Cuevas,Alabama,Florida State,1,0,0,0.0,0,0,3,31,10.3,1,27,31,0,0
Rico Scott,Alabama,Florida State,1,0,0,0.0,0,0,2,19,9.5,1,13,19,0,0
Germie Bernard,Alabama,Florida State,1,1,3,3.0,0,3,8,146,18.2,0,37,149,0,0
Kevin Riley,Alabama,Florida State,1,5,31,6.2,0,13,1,4,4.0,0,4,35,0,0
Daniel Hill,Alabama,Florida State,1,3,9,3.0,0,7,2,12,6.0,0,9,21,0,0
Ryan Williams,Alabama,Florida State,1,0,0,0.0,0,0,5,30,6.0,0,11,30,0,0
Dre'Lyn Washington,Alabama,Florida State,1,2,1,0.5,0,2,0,0,0.0,0,0,1,0,0
Isaiah Horton,Alabama,Florida State,1,0,0,0.0,0,0,1,6,6.0,0,6,6,0,0
Ty Simpson,Alabama,Florida State,1,9,17,1.9,0,9,0,0,0.0,0,0,17,1,0
Richard Young,Alabama,Florida State,1,9,26,2.9,0,6,1,6,6.0,0,6,32,0,0
