Player,Team,Opponent,Week,Total_Tackles,Solo_Tackles,Tackles_For_Loss,Sacks,QB_Hurries,Pass_Breakups,Interceptions,Interception_Return_Yards,Interception_Return_TDs,Fumbles_Recovered,Defensive_TDs
Xavion Alford,Arizona State,Northern Arizona,1,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Myles Rowser,Arizona State,Northern Arizona,1,4.0,3.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0
C.J. Fite,Arizona State,Northern Arizona,1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0.0,0
Roman Pitre,Arizona State,Northern Arizona,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Krew Jackson,Arizona State,Northern Arizona,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Maurice Williams II,Arizona State,Northern Arizona,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Jack Bal,Arizona State,Northern Arizona,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Adrian Wilson,Arizona State,Northern Arizona,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Prince Dorbah,Arizona State,Northern Arizona,1,2.0,1.0,1.5,0.0,3.0,0.0,0,0,0,0.0,0
Malik McClain,Arizona State,Northern Arizona,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Albert Smith III,Arizona State,Northern Arizona,1,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Ramar Williams,Arizona State,Northern Arizona,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Anthonie Cooper,Arizona State,Northern Arizona,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0
Ian Shewell,Arizona State,Northern Arizona,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Keyshaun Elliott,Arizona State,Northern Arizona,1,5.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0.0,0
Jacob Kongaika,Arizona State,Northern Arizona,1,3.0,1.0,0.5,0.0,0.0,1.0,0,0,0,0.0,0
Clayton Smith,Arizona State,Northern Arizona,1,6.0,2.0,0.5,0.0,1.0,0.0,0,0,0,0.0,0
Martell Hughes,Arizona State,Northern Arizona,1,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Rodney Bimage Jr.,Arizona State,Northern Arizona,1,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Keith Abney,Arizona State,Northern Arizona,1,4.0,4.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0
Zyrus Fiaseu,Arizona State,Northern Arizona,1,2.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Montana Warren,Arizona State,Northern Arizona,1,4.0,2.0,0.5,0.0,1.0,2.0,0,0,0,0.0,0
Tate Romney,Arizona State,Northern Arizona,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Kyndrich Breedlove,Arizona State,Northern Arizona,1,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Nyland Green,Arizona State,Northern Arizona,1,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0.0,0
Jordan Crook,Arizona State,Northern Arizona,1,7.0,5.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0
Javan Robinson,Arizona State,Northern Arizona,1,3.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Blazen Lono-Wong,Arizona State,Northern Arizona,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Elijah O'Neal,Arizona State,Northern Arizona,1,6.0,3.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0
