Player,Team,Opponent,Week,Total_Tackles,Solo_Tackles,Tackles_For_Loss,Sacks,QB_Hurries,Pass_Breakups,Interceptions,Interception_Return_Yards,Interception_Return_TDs,Fumbles_Recovered,Defensive_TDs
Amaris Williams,Auburn,Baylor,1,1.0,0.0,0.5,0.5,0.0,0.0,0,0,0,0.0,0
Chris Murray,Auburn,Baylor,1,1.0,0.0,0.5,0.5,0.0,0.0,0,0,0,0.0,0
Robert Woodyard Jr.,Auburn,Baylor,1,3.0,3.0,2.0,1.0,1.0,0.0,0,0,0,0.0,0
Kensley Louidor-Faustin,Auburn,Baylor,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Elijah Melendez,Auburn,Baylor,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Bobby Jamison-Travis,Auburn,Baylor,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Kayin Lee,Auburn,Baylor,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Kaleb Harris,Auburn,Baylor,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Champ Anthony,Auburn,Baylor,1,2.0,2.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Jay Hardy,Auburn,Baylor,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Keldric Faulk,Auburn,Baylor,1,4.0,4.0,1.0,1.0,1.0,1.0,0,0,0,0.0,0
Justin Jones,Auburn,Baylor,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Xavier Atkins,Auburn,Baylor,1,5.0,4.0,0.0,0.0,1.0,0.0,0,0,0,0.0,0
Zykeivous Walker,Auburn,Baylor,1,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Anquon Fegans,Auburn,Baylor,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Eric Winters,Auburn,Baylor,1,3.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Jay Crawford,Auburn,Baylor,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Keyron Crawford,Auburn,Baylor,1,7.0,4.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0
Demarcus Riddick,Auburn,Baylor,1,2.0,2.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Sylvester Smith,Auburn,Baylor,1,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Jahquez Robinson,Auburn,Baylor,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
