Player,Team,Opponent,Week,Rushing_Attempts,Rushing_Yards,Yards_Per_Carry,Rushing_TDs,Longest_Rush,Receptions,Receiving_Yards,Yards_Per_Reception,Receiving_TDs,Longest_Reception,All_Purpose_Yards,Fumbles,Fumbles_Lost
Jackson Arnold,Auburn,Baylor,1,16,137,8.6,2,27,0,0,0.0,0,0,137,1,0
Durell Robinson,Auburn,Baylor,1,1,3,3.0,0,3,0,0,0.0,0,0,3,0,0
Jeremiah Cobb,Auburn,Baylor,1,16,74,4.6,1,9,1,0,0.0,0,0,74,0,0
Horatio Fields,Auburn,Baylor,1,0,0,0.0,0,0,2,17,8.5,0,9,17,0,0
Brandon Frazier,Auburn,Baylor,1,0,0,0.0,0,0,2,15,7.5,0,9,15,0,0
Cam Coleman,Auburn,Baylor,1,0,0,0.0,0,0,1,23,23.0,0,23,23,0,0
Malcolm Simmons,Auburn,Baylor,1,0,0,0.0,0,0,1,26,26.0,0,26,26,0,0
Preston Howard,Auburn,Baylor,1,0,0,0.0,0,0,1,7,7.0,0,7,7,0,0
Damari Alston,Auburn,Baylor,1,16,84,5.2,1,11,0,0,0.0,0,0,84,0,0
Eric Singleton Jr.,Auburn,Baylor,1,2,10,5.0,0,6,3,20,6.7,0,9,30,0,0
