Player,Team,Opponent,Week,Total_Tackles,Solo_Tackles,Tackles_For_Loss,Sacks,QB_Hurries,Pass_Breakups,Interceptions,Interception_Return_Yards,Interception_Return_TDs,Fumbles_Recovered,Defensive_TDs
Keaton Thomas,Baylor,Auburn,1,15.0,10.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Tevin Williams III,Baylor,Auburn,1,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Cooper Lanz,Baylor,Auburn,1,4.0,2.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
DJ Coleman,Baylor,Auburn,1,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Caden Jenkins,Baylor,Auburn,1,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Levar Thornton Jr.,Baylor,Auburn,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Calvin Simpson-Hunt,Baylor,Auburn,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Kendrick Simpkins,Baylor,Auburn,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0
Kyland Reed,Baylor,Auburn,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Ronnie Mageo,Baylor,Auburn,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Micah Gifford,Baylor,Auburn,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
D.K. Kalu,Baylor,Auburn,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Devonte Tezino,Baylor,Auburn,1,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Devyn Bobby,Baylor,Auburn,1,6.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Phoenix Jackson,Baylor,Auburn,1,6.0,2.0,0.0,0.0,1.0,0.0,0,0,0,0.0,0
Travion Barnes,Baylor,Auburn,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Matthew Fobbs-White,Baylor,Auburn,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Emar'Rion Winston,Baylor,Auburn,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Tyler Turner,Baylor,Auburn,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Jacob Redding,Baylor,Auburn,1,6.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
