Player,Team,Opponent,Week,Total_Tackles,Solo_Tackles,Tackles_For_Loss,Sacks,QB_Hurries,Pass_Breakups,Interceptions,Interception_Return_Yards,Interception_Return_TDs,Fumbles_Recovered,Defensive_TDs
Peter Woods,Clemson,LSU,1,5.0,0.0,0.5,0.0,1.0,0.0,0,0,0,0.0,0
Cole Turner,Clemson,LSU,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Jeadyn Lukus,Clemson,LSU,1,3.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Misun Kelley,Clemson,LSU,1,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Will Heldt,Clemson,LSU,1,3.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0
Cade Denhoff,Clemson,LSU,1,2.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0.0,0
Ronan Hanafin,Clemson,LSU,1,12.0,6.0,1.0,0.0,0.0,1.0,0,0,0,0.0,0
Stephiylan Green,Clemson,LSU,1,6.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Ashton Hampton,Clemson,LSU,1,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
DeMonte Capehart,Clemson,LSU,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Kylon Griffin,Clemson,LSU,1,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Jamal Anderson,Clemson,LSU,1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0
Shelton Lewis,Clemson,LSU,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Wade Woodaz,Clemson,LSU,1,6.0,5.0,2.0,0.0,0.0,0.0,0,0,0,0.0,0
Avieon Terrell,Clemson,LSU,1,6.0,4.0,0.5,0.0,0.0,1.0,0,0,0,0.0,0
Ricardo Jones,Clemson,LSU,1,4.0,2.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0
T.J. Parker,Clemson,LSU,1,3.0,2.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Jaheim Lawson,Clemson,LSU,1,2.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0.0,0
Sammy Brown,Clemson,LSU,1,11.0,8.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0
