Player,Team,Opponent,Week,Rushing_Attempts,Rushing_Yards,Yards_Per_Carry,Rushing_TDs,Longest_Rush,Receptions,Receiving_Yards,Yards_Per_Reception,Receiving_TDs,Longest_Reception,All_Purpose_Yards,Fumbles,Fumbles_Lost
Adam Randall,Clemson,LSU,1,5,16,3.2,1,7,2,14,7.0,0,11,30,0,0
Keith Adams Jr.,Clemson,LSU,1,1,-2,-2.0,0,0,0,0,0.0,0,0,-2,0,0
David Eziomume,Clemson,LSU,1,3,5,1.7,0,4,0,0,0.0,0,0,5,0,0
Olsen Patt-Henry,Clemson,LSU,1,0,0,0.0,0,0,2,22,11.0,0,19,22,0,0
Cade Klubnik,Clemson,LSU,1,8,1,0.1,0,7,0,0,0.0,0,0,1,0,0
T.J. Moore,Clemson,LSU,1,1,5,5.0,0,5,4,55,13.8,0,26,60,0,0
Bryant Wesco Jr.,Clemson,LSU,1,0,0,0.0,0,0,4,66,16.5,0,21,66,0,0
Tyler Brown,Clemson,LSU,1,1,7,7.0,0,7,4,43,10.8,0,17,50,0,0
Christian Bentancur,Clemson,LSU,1,0,0,0.0,0,0,2,23,11.5,0,20,23,0,0
Josh Sapp,Clemson,LSU,1,0,0,0.0,0,0,1,7,7.0,0,7,7,0,0
