Player,Team,Opponent,Week,Total_Tackles,Solo_Tackles,Tackles_For_Loss,Sacks,QB_Hurries,Pass_Breakups,Interceptions,Interception_Return_Yards,Interception_Return_TDs,Fumbles_Recovered,Defensive_TDs
James Williams,Florida State,Alabama,1,1.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0.0,0
Blake Nichelson,Florida State,Alabama,1,4.0,2.0,1.0,0.0,1.0,1.0,0,0,0,0.0,0
Ashlynd Barker,Florida State,Alabama,1,3.0,3.0,0.0,0.0,0.0,2.0,0,0,0,0.0,0
Ja'Bril Rawls,Florida State,Alabama,1,6.0,3.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Elijah Herring,Florida State,Alabama,1,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Omar Graham Jr.,Florida State,Alabama,1,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Daniel Lyons,Florida State,Alabama,1,2.0,1.0,1.0,1.0,2.0,0.0,0,0,0,0.0,0
K.J. Kirkland,Florida State,Alabama,1,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Darrell Jackson,Florida State,Alabama,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Jaden Jones,Florida State,Alabama,1,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Justin Cryer,Florida State,Alabama,1,7.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Edwin Joseph,Florida State,Alabama,1,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Stefon Thompson,Florida State,Alabama,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0
Deamontae Diggs,Florida State,Alabama,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0
Jayson Jenkins,Florida State,Alabama,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Earl Little II,Florida State,Alabama,1,9.0,4.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0
Deante McCray,Florida State,Alabama,1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0
Quindarrius Jones,Florida State,Alabama,1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0
Jeremiah Wilson,Florida State,Alabama,1,4.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Mandrell Desir,Florida State,Alabama,1,4.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
