Player,Team,Opponent,Week,Total_Tackles,Solo_Tackles,Tackles_For_Loss,Sacks,QB_Hurries,Pass_Breakups,Interceptions,Interception_Return_Yards,Interception_Return_TDs,Fumbles_Recovered,Defensive_TDs
Xzavier Mcleod,Georgia,Marshall,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Raylen Wilson,Georgia,Marshall,1,7.0,6.0,2.0,0.0,0.0,0.0,0,0,0,0.0,0
Justin Greene,Georgia,Marshall,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
C.J. Allen,Georgia,Marshall,1,4.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Terrell Foster,Georgia,Marshall,1,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Gabe Harris,Georgia,Marshall,1,2.0,2.0,2.0,0.0,0.0,0.0,0,0,0,0.0,0
Elo Modozie,Georgia,Marshall,1,1.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0.0,0
Zayden Walker,Georgia,Marshall,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Cole Speer,Georgia,Marshall,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Rasean Dinkins,Georgia,Marshall,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Darren Ikinnagbon,Georgia,Marshall,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
JaCorey Thomas,Georgia,Marshall,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Justin Williams,Georgia,Marshall,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Jeremy Bell,Georgia,Marshall,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Zion Branch,Georgia,Marshall,1,7.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Kyron Jones,Georgia,Marshall,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Kris Jones,Georgia,Marshall,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Talyn Taylor,Georgia,Marshall,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
KJ Bolden,Georgia,Marshall,1,4.0,2.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Nnamdi Ogboko,Georgia,Marshall,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Clinton Barlow,Georgia,Marshall,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Demello Jones,Georgia,Marshall,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Ellis Robinson IV,Georgia,Marshall,1,1.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0.0,0
Chris Cole,Georgia,Marshall,1,5.0,4.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0
Elijah Griffin,Georgia,Marshall,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
