Player,Team,Opponent,Week,Rushing_Attempts,Rushing_Yards,Yards_Per_Carry,Rushing_TDs,Longest_Rush,Receptions,Receiving_Yards,Yards_Per_Reception,Receiving_TDs,Longest_Reception,All_Purpose_Yards,Fumbles,Fumbles_Lost
Nate Frazier,Georgia,Marshall,1,11,47,4.3,0,12,0,0,0.0,0,0,47,0,0
Dillon Bell,Georgia,Marshall,1,1,-6,-6.0,0,0,1,0,0.0,0,0,-6,0,0
Lawson Luckie,Georgia,Marshall,1,0,0,0.0,0,0,1,6,6.0,0,6,6,0,0
Thomas Blackshear,Georgia,Marshall,1,0,0,0.0,0,0,1,14,14.0,0,14,14,0,0
Dwight Phillips Jr.,Georgia,Marshall,1,5,60,12.0,1,18,0,0,0.0,0,0,60,0,0
Bo Walker,Georgia,Marshall,1,6,12,2.0,0,8,0,0,0.0,0,0,12,0,0
Chauncey Bowens,Georgia,Marshall,1,6,33,5.5,0,21,2,9,4.5,0,6,42,0,0
Tyler Williams,Georgia,Marshall,1,0,0,0.0,0,0,1,7,7.0,0,7,7,0,0
Ryan Puglisi,Georgia,Marshall,1,2,13,6.5,0,7,0,0,0.0,0,0,13,0,0
Colbie Young,Georgia,Marshall,1,0,0,0.0,0,0,2,30,15.0,0,24,30,0,0
Joshua McCray,Georgia,Marshall,1,2,6,3.0,0,5,0,0,0.0,0,0,6,0,0
Zachariah Branch,Georgia,Marshall,1,0,0,0.0,0,0,3,95,31.7,1,47,95,0,0
Gunner Stockton,Georgia,Marshall,1,10,73,7.3,2,14,0,0,0.0,0,0,73,0,0
Cash Jones,Georgia,Marshall,1,1,1,1.0,0,1,1,12,12.0,0,12,13,0,0
Elyiss Williams,Georgia,Marshall,1,0,0,0.0,0,0,1,23,23.0,1,23,23,0,0
London Humphreys,Georgia,Marshall,1,0,0,0.0,0,0,3,8,2.7,1,4,8,0,0
Oscar Delp,Georgia,Marshall,1,0,0,0.0,0,0,2,33,16.5,0,28,33,0,0
Sacovie White,Georgia,Marshall,1,0,0,0.0,0,0,1,12,12.0,0,12,12,0,0
