Player,Team,Opponent,Week,Receptions,Receiving_Yards,Yards_Per_Reception,Receiving_TDs,Longest_Reception,Fumbles,Fumbles_Lost
Lawson Luckie,Georgia,Marshall,1,1,6,6.0,0,6,0,0
Oscar Delp,Georgia,Marshall,1,2,33,16.5,0,28,0,0
Chauncey Bowens,Georgia,Marshall,1,2,9,4.5,0,6,0,0
Colbie Young,Georgia,Marshall,1,2,30,15.0,0,24,0,0
Thomas Blackshear,Georgia,Marshall,1,1,14,14.0,0,14,0,0
Elyiss Williams,Georgia,Marshall,1,1,23,23.0,1,23,0,0
Zachariah Branch,Georgia,Marshall,1,3,95,31.7,1,47,0,0
London Humphreys,Georgia,Marshall,1,3,8,2.7,1,4,0,0
Sacovie White,Georgia,Marshall,1,1,12,12.0,0,12,0,0
Tyler Williams,Georgia,Marshall,1,1,7,7.0,0,7,0,0
Cash Jones,Georgia,Marshall,1,1,12,12.0,0,12,0,0
Dillon Bell,Georgia,Marshall,1,1,0,0.0,0,0,0,0
