Player,Team,Opponent,Week,Total_Tackles,Solo_Tackles,Tackles_For_Loss,Sacks,QB_Hurries,Pass_Breakups,Interceptions,Interception_Return_Yards,Interception_Return_TDs,Fumbles_Recovered,Defensive_TDs
Marcus Neal,Iowa State,Kansas State,0,8.0,4.0,1.5,0.0,0.0,1.0,0,0,0,0.0,0
Jamison Patton,Iowa State,Kansas State,0,7.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Kooper Ebel,Iowa State,Kansas State,0,5.0,3.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0
Drew Surges,Iowa State,Kansas State,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Cael Brezina,Iowa State,Kansas State,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Jontez Williams,Iowa State,Kansas State,0,5.0,3.0,0.5,0.0,0.0,0.0,0,0,0,0.0,0
Will McLaughlin,Iowa State,Kansas State,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Jace J. Gilbert,Iowa State,Kansas State,0,1.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0.0,0
Carson Van Dinter,Iowa State,Kansas State,0,3.0,1.0,0.5,0.0,0.0,0.0,0,0,0,0.0,0
Tre Bell,Iowa State,Kansas State,0,3.0,1.0,0.5,0.0,0.0,0.0,0,0,0,0.0,0
Caden Kock,Iowa State,Kansas State,0,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Domonique Orange,Iowa State,Kansas State,0,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Carson Willich,Iowa State,Kansas State,0,5.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Aiden Flora,Iowa State,Kansas State,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0
Khijohnn Cummings-Coleman,Iowa State,Kansas State,0,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Ikenna Ezeogu,Iowa State,Kansas State,0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0.0,0
Tamatoa McDonough,Iowa State,Kansas State,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Quentin Taylor Jr.,Iowa State,Kansas State,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Caleb Bacon,Iowa State,Kansas State,0,4.0,3.0,1.0,0.0,1.0,0.0,0,0,0,0.0,0
Jeremiah Cooper,Iowa State,Kansas State,0,3.0,1.0,0.5,0.0,0.0,1.0,0,0,0,0.0,0
Ta'Shawn James,Iowa State,Kansas State,0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1.0,0
