Player,Team,Opponent,Week,Total_Tackles,Solo_Tackles,Tackles_For_Loss,Sacks,QB_Hurries,Pass_Breakups,Interceptions,Interception_Return_Yards,Interception_Return_TDs,Fumbles_Recovered,Defensive_TDs
Chiddi Obiazor,Kansas State,Iowa State,0,2.0,1.0,1.0,0.0,1.0,0.0,0,0,0,1.0,0
Gabe Powers,Kansas State,Iowa State,0,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Travis Bates,Kansas State,Iowa State,0,3.0,3.0,0.0,0.0,1.0,0.0,0,0,0,0.0,0
Jordan Allen,Kansas State,Iowa State,0,2.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0
Mar'Quavious Moss,Kansas State,Iowa State,0,4.0,3.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0
Gunner Maldonado,Kansas State,Iowa State,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Desmond Purnell,Kansas State,Iowa State,0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0.0,0
Uso Seumalo,Kansas State,Iowa State,0,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Rex Van Wyhe,Kansas State,Iowa State,0,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Wesley Fair,Kansas State,Iowa State,0,4.0,3.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Damian Ilalio,Kansas State,Iowa State,0,2.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0
Justice Clemons,Kansas State,Iowa State,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Austin Romaine,Kansas State,Iowa State,0,8.0,4.0,0.0,0.0,0.0,1.0,0,0,0,1.0,0
VJ Payne,Kansas State,Iowa State,0,5.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Logan Bartley,Kansas State,Iowa State,0,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Tobi Osunsanmi,Kansas State,Iowa State,0,4.0,3.0,2.0,2.0,0.0,0.0,0,0,0,0.0,0
Kanijal Thomas,Kansas State,Iowa State,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Cody Stufflebean,Kansas State,Iowa State,0,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Donovan McIntosh,Kansas State,Iowa State,0,8.0,5.0,0.0,0.0,0.0,2.0,0,0,0,0.0,0
Zashon Rich,Kansas State,Iowa State,0,8.0,5.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
