Player,Team,Opponent,Week,Rushing_Attempts,Rushing_Yards,Yards_Per_Carry,Rushing_TDs,Longest_Rush,Receptions,Receiving_Yards,Yards_Per_Reception,Receiving_TDs,Longest_Reception,All_Purpose_Yards,Fumbles,Fumbles_Lost
Terrence Enos Jr.,Kansas State,Iowa State,0,0,0,0.0,0,0,1,-3,-3.0,0,0,-3,0,0
Devon Rice,Kansas State,Iowa State,0,5,9,1.8,0,10,1,0,0.0,0,0,9,0,0
Brayden Loftin,Kansas State,Iowa State,0,0,0,0.0,0,0,1,18,18.0,0,18,18,0,0
Will Anciaux,Kansas State,Iowa State,0,0,0,0.0,0,0,1,1,1.0,0,1,1,0,0
Garrett Oakley,Kansas State,Iowa State,0,0,0,0.0,0,0,5,62,12.4,0,24,62,0,0
Jayce Brown,Kansas State,Iowa State,0,2,29,14.5,0,33,4,78,19.5,1,37,107,0,0
Avery Johnson,Kansas State,Iowa State,0,8,21,2.6,1,10,0,0,0.0,0,0,21,0,0
Joe Jackson,Kansas State,Iowa State,0,12,51,4.2,0,17,1,7,7.0,0,7,58,1,1
Jerand Bradley,Kansas State,Iowa State,0,0,0,0.0,0,0,3,75,25.0,1,65,75,0,0
Jaron Tibbs,Kansas State,Iowa State,0,0,0,0.0,0,0,4,35,8.8,0,17,35,0,0
