Player,Team,Opponent,Week,Total_Tackles,Solo_Tackles,Tackles_For_Loss,Sacks,QB_Hurries,Pass_Breakups,Interceptions,Interception_Return_Yards,Interception_Return_TDs,Fumbles_Recovered,Defensive_TDs
Jimmy Rolder,Michigan,New Mexico,1,4.0,4.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0
Trey Pierce,Michigan,New Mexico,1,3.0,2.0,0.0,0.0,1.0,0.0,0,0,0,0.0,0
Elijah Dotson,Michigan,New Mexico,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Jordan Young,Michigan,New Mexico,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Troy Bowles,Michigan,New Mexico,1,3.0,2.0,2.0,1.0,0.0,0.0,0,0,0,0.0,0
Fredrick Moore,Michigan,New Mexico,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Jayden Sanders,Michigan,New Mexico,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Dominic Nichols,Michigan,New Mexico,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0
Cole Sullivan,Michigan,New Mexico,1,5.0,3.0,1.0,1.0,0.0,0.0,1,0,0,0.0,0
Mason Curtis,Michigan,New Mexico,1,7.0,5.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Tevis Metcalf,Michigan,New Mexico,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Joe Taylor,Michigan,New Mexico,1,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Logan Forbes,Michigan,New Mexico,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Zeke Berry,Michigan,New Mexico,1,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Jaden Mangham,Michigan,New Mexico,1,2.0,2.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Damon Payne Jr.,Michigan,New Mexico,1,3.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0
TJ Metcalf,Michigan,New Mexico,1,3.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0.0,0
Cameron Brandt,Michigan,New Mexico,1,2.0,2.0,1.0,0.0,1.0,0.0,0,0,0,0.0,0
Rayshaun Benny,Michigan,New Mexico,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Derrick Moore,Michigan,New Mexico,1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0.0,0
Jyaire Hill,Michigan,New Mexico,1,3.0,3.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Enow Etta,Michigan,New Mexico,1,3.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0
Tre Williams,Michigan,New Mexico,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Ernest Hausmann,Michigan,New Mexico,1,8.0,5.0,0.0,0.0,1.0,0.0,0,0,0,0.0,0
Brandyn Hillman,Michigan,New Mexico,1,5.0,3.0,0.5,0.0,0.0,0.0,1,0,0,0.0,0
TJ Guy,Michigan,New Mexico,1,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0
