Player,Team,Opponent,Week,Rushing_Attempts,Rushing_Yards,Yards_Per_Carry,Rushing_TDs,Longest_Rush,Receptions,Receiving_Yards,Yards_Per_Reception,Receiving_TDs,Longest_Reception,All_Purpose_Yards,Fumbles,Fumbles_Lost
Channing Goodwin,Michigan,New Mexico,1,0,0,0.0,0,0,2,49,24.5,0,39,49,0,0
Max Bredeson,Michigan,New Mexico,1,0,0,0.0,0,0,1,4,4.0,0,4,4,0,0
Marlin Klein,Michigan,New Mexico,1,0,0,0.0,0,0,6,93,15.5,1,27,93,0,0
Bryce Underwood,Michigan,New Mexico,1,2,-5,-2.5,0,0,0,0,0.0,0,0,-5,0,0
Jordan Marshall,Michigan,New Mexico,1,11,29,2.6,0,5,1,5,5.0,0,5,34,0,0
Donaven McCulley,Michigan,New Mexico,1,0,0,0.0,0,0,4,31,7.8,0,9,31,0,0
Semaj Morgan,Michigan,New Mexico,1,2,14,7.0,0,11,4,33,8.2,0,11,47,1,0
Micah Ka'Apana,Michigan,New Mexico,1,1,4,4.0,0,4,0,0,0.0,0,0,4,0,0
Justice Haynes,Michigan,New Mexico,1,16,159,9.9,3,59,2,6,3.0,0,8,165,0,0
Kendrick Bell,Michigan,New Mexico,1,0,0,0.0,0,0,1,30,30.0,0,30,30,0,0
