Player,Team,Opponent,Week,Targets,Receptions,Catch_%,Target_Share_%,Receiving_Yards,Yards_Per_Reception,Yards_Per_Target,Receiving_TDs,Longest_Reception,Fumbles,Fumbles_Lost
Max Bredeson,Michigan,New Mexico,1,1,1,100.0,3.2,4,4.0,4.0,0,4,0,0
Semaj Morgan,Michigan,New Mexico,1,4,4,100.0,12.9,33,8.2,8.2,0,11,1,0
Jordan Marshall,Michigan,New Mexico,1,1,1,100.0,3.2,5,5.0,5.0,0,5,0,0
Donaven McCulley,Michigan,New Mexico,1,5,4,80.0,16.1,31,7.8,6.2,0,9,0,0
Kendrick Bell,Michigan,New Mexico,1,1,1,100.0,3.2,30,30.0,30.0,0,30,0,0
Channing Goodwin,Michigan,New Mexico,1,6,2,33.3,19.4,49,24.5,8.2,0,39,0,0
Fredrick Moore,Michigan,New Mexico,1,1,0,0.0,3.2,0,0.0,0.0,0,0,0,0
Andrew Marsh,Michigan,New Mexico,1,1,0,0.0,3.2,0,0.0,0.0,0,0,1,1
Marlin Klein,Michigan,New Mexico,1,9,6,66.7,29.0,93,15.5,10.3,1,27,0,0
Justice Haynes,Michigan,New Mexico,1,2,2,100.0,6.5,6,3.0,3.0,0,8,0,0
