Player,Team,Opponent,Week,Total_Tackles,Solo_Tackles,Tackles_For_Loss,Sacks,QB_Hurries,Pass_Breakups,Interceptions,Interception_Return_Yards,Interception_Return_TDs,Fumbles_Recovered,Defensive_TDs
Leroy Roker III,Ohio State,Texas,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Will Smith Jr.,Ohio State,Texas,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Caden Curry,Ohio State,Texas,1,6.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Payton Pierce,Ohio State,Texas,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Davison Igbinosun,Ohio State,Texas,1,10.0,4.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Jaylen McClain,Ohio State,Texas,1,8.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Garrett Stover,Ohio State,Texas,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Kenyatta Jackson,Ohio State,Texas,1,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Eddrick Houston,Ohio State,Texas,1,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Beau Atkinson,Ohio State,Texas,1,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Devin Sanchez,Ohio State,Texas,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Kayden McDonald,Ohio State,Texas,1,8.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Lorenzo Styles Jr.,Ohio State,Texas,1,7.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Arvell Reese,Ohio State,Texas,1,9.0,4.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0
Caleb Downs,Ohio State,Texas,1,5.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
C.J. Hicks,Ohio State,Texas,1,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Jermaine Mathews Jr.,Ohio State,Texas,1,3.0,3.0,0.0,0.0,0.0,0.0,1,5,0,0.0,0
Sonny Styles,Ohio State,Texas,1,5.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
