Player,Team,Opponent,Week,Total_Tackles,Solo_Tackles,Tackles_For_Loss,Sacks,QB_Hurries,Pass_Breakups,Interceptions,Interception_Return_Yards,Interception_Return_TDs,Fumbles_Recovered,Defensive_TDs
Kip Lewis,Oklahoma,Illinois State,1,4.0,2.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Jayden Jackson,Oklahoma,Illinois State,1,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Michael Boganowski,Oklahoma,Illinois State,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Courtland Guillory,Oklahoma,Illinois State,1,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
James Nesta,Oklahoma,Illinois State,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Gracen Halton,Oklahoma,Illinois State,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Adepoju Adebawore,Oklahoma,Illinois State,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Trent Wilson,Oklahoma,Illinois State,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Kendal Daniels,Oklahoma,Illinois State,1,3.0,1.0,0.5,0.0,0.0,1.0,0,0,0,0.0,0
Danny Okoye,Oklahoma,Illinois State,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Gentry Williams,Oklahoma,Illinois State,1,3.0,3.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0
Kobie McKinzie,Oklahoma,Illinois State,1,4.0,0.0,0.5,0.0,1.0,0.0,0,0,0,0.0,0
Samuel Omosigho,Oklahoma,Illinois State,1,8.0,3.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0
R Mason Thomas,Oklahoma,Illinois State,1,2.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Reggie Powers III,Oklahoma,Illinois State,1,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Taylor Wein,Oklahoma,Illinois State,1,2.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0.0,0
David Stone,Oklahoma,Illinois State,1,2.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Robert Spears-Jennings,Oklahoma,Illinois State,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Peyton Bowen,Oklahoma,Illinois State,1,2.0,2.0,0.0,0.0,1.0,0.0,0,0,0,0.0,0
Omarion Robinson,Oklahoma,Illinois State,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Owen Heinecke,Oklahoma,Illinois State,1,4.0,4.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0
