Player,Team,Opponent,Week,Rushing_Attempts,Rushing_Yards,Yards_Per_Carry,Rushing_TDs,Longest_Rush,Receptions,Receiving_Yards,Yards_Per_Reception,Receiving_TDs,Longest_Reception,All_Purpose_Yards,Fumbles,Fumbles_Lost
Xavier Robinson,Oklahoma,Illinois State,1,8,17,2.1,0,5,2,12,6.0,0,6,29,0,0
Deion Burks,Oklahoma,Illinois State,1,1,12,12.0,0,12,7,88,12.6,1,28,100,0,0
Keontez Lewis,Oklahoma,Illinois State,1,0,0,0.0,0,0,9,119,13.2,2,28,119,0,0
Isaiah Sategna Iii,Oklahoma,Illinois State,1,0,0,0.0,0,0,2,16,8.0,0,16,16,0,0
John Mateer,Oklahoma,Illinois State,1,7,24,3.4,1,7,0,0,0.0,0,0,24,0,0
Tory Blaylock,Oklahoma,Illinois State,1,8,44,5.5,1,11,2,18,9.0,0,16,62,0,0
Jadyn Ott,Oklahoma,Illinois State,1,1,-3,-3.0,0,0,0,0,0.0,0,0,-3,0,0
Will Huggins,Oklahoma,Illinois State,1,0,0,0.0,0,0,1,15,15.0,0,15,15,0,0
Carson Kent,Oklahoma,Illinois State,1,0,0,0.0,0,0,1,7,7.0,0,7,7,0,0
Jovantae Barnes,Oklahoma,Illinois State,1,7,9,1.3,0,6,0,0,0.0,0,0,9,0,0
Jaren Kanak,Oklahoma,Illinois State,1,0,0,0.0,0,0,5,90,18.0,0,48,90,1,1
Jacob Jordan,Oklahoma,Illinois State,1,0,0,0.0,0,0,1,27,27.0,0,27,27,0,0
