Player,Team,Opponent,Week,Total_Tackles,Solo_Tackles,Tackles_For_Loss,Sacks,QB_Hurries,Pass_Breakups,Interceptions,Interception_Return_Yards,Interception_Return_TDs,Fumbles_Recovered,Defensive_TDs
Terrance Green,Oregon,Montana State,1,2.0,1.0,0.5,0.0,0.0,0.0,0,0,0,0.0,0
Aaron Flowers,Oregon,Montana State,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Na'Eem Offord,Oregon,Montana State,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Jordon Davison,Oregon,Montana State,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Brandon Finney Jr.,Oregon,Montana State,1,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Bear Alexander,Oregon,Montana State,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Devon Jackson,Oregon,Montana State,1,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Sione Laulea,Oregon,Montana State,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Nasir Wyatt,Oregon,Montana State,1,2.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0
Kamar Mothudi,Oregon,Montana State,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Zach Grisham,Oregon,Montana State,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Jayden Limar,Oregon,Montana State,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Solomon Davis,Oregon,Montana State,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Jerry Mixon,Oregon,Montana State,1,4.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Peyton Woodyard,Oregon,Montana State,1,4.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Matayo Uiagalelei,Oregon,Montana State,1,2.0,2.0,2.0,2.0,0.0,0.0,0,0,0,0.0,0
Matthew Johnson,Oregon,Montana State,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Teitum Tuioti,Oregon,Montana State,1,5.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0
Dillon Thieneman,Oregon,Montana State,1,4.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Ify Obidegwu,Oregon,Montana State,1,3.0,2.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Dakoda Fields,Oregon,Montana State,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
A'Mauri Washington,Oregon,Montana State,1,5.0,3.0,1.5,0.0,0.0,0.0,0,0,0,0.0,0
Bryce Boettcher,Oregon,Montana State,1,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Aydin Breland,Oregon,Montana State,1,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Daylen Austin,Oregon,Montana State,1,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Jadon Canady,Oregon,Montana State,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Blake Purchase,Oregon,Montana State,1,3.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0
Kingston Lopa,Oregon,Montana State,1,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
