Player,Team,Opponent,Week,Rushing_Attempts,Rushing_Yards,Yards_Per_Carry,Rushing_TDs,Longest_Rush,Receptions,Receiving_Yards,Yards_Per_Reception,Receiving_TDs,Longest_Reception,All_Purpose_Yards,Fumbles,Fumbles_Lost
Kenyon Sadiq,Oregon,Montana State,1,1,3,3.0,0,3,1,20,20.0,1,20,23,0,0
Jayden Limar,Oregon,Montana State,1,3,20,6.7,1,16,0,0,0.0,0,0,20,0,0
Brock Thomas,Oregon,Montana State,1,1,5,5.0,0,5,0,0,0.0,0,0,5,0,0
Dakorien Moore,Oregon,Montana State,1,2,17,8.5,0,17,3,26,8.7,0,13,43,0,0
Kyler Kasper,Oregon,Montana State,1,0,0,0.0,0,0,1,40,40.0,0,40,40,0,0
Luke Moga,Oregon,Montana State,1,1,25,25.0,0,25,0,0,0.0,0,0,25,0,0
Cooper Perry,Oregon,Montana State,1,0,0,0.0,0,0,1,6,6.0,0,6,6,0,0
Malik Benson,Oregon,Montana State,1,0,0,0.0,0,0,5,51,10.2,1,18,51,0,0
Jordon Davison,Oregon,Montana State,1,6,26,4.3,3,8,0,0,0.0,0,0,26,0,0
Dante Moore,Oregon,Montana State,1,3,18,6.0,0,8,0,0,0.0,0,0,18,0,0
Makhi Hughes,Oregon,Montana State,1,1,2,2.0,0,2,1,4,4.0,0,4,6,0,0
Da'Jaun Riggs,Oregon,Montana State,1,4,20,5.0,0,10,0,0,0.0,0,0,20,0,0
Noah Whittington,Oregon,Montana State,1,10,68,6.8,1,35,0,0,0.0,0,0,68,0,0
Gary Bryant Jr.,Oregon,Montana State,1,0,0,0.0,0,0,4,31,7.8,1,14,31,1,0
Jeremiah McClellan,Oregon,Montana State,1,0,0,0.0,0,0,1,13,13.0,0,13,13,0,0
Justius Lowe,Oregon,Montana State,1,0,0,0.0,0,0,1,12,12.0,0,12,12,0,0
Jay Harris,Oregon,Montana State,1,1,2,2.0,0,2,1,50,50.0,0,50,52,0,0
Dierre Hill Jr.,Oregon,Montana State,1,5,48,9.6,0,28,0,0,0.0,0,0,48,0,0
