Player,Team,Opponent,Week,Total_Tackles,Solo_Tackles,Tackles_For_Loss,Sacks,QB_Hurries,Pass_Breakups,Interceptions,Interception_Return_Yards,Interception_Return_TDs,Fumbles_Recovered,Defensive_TDs
Liona Lefau,Texas,Ohio State,1,9.0,3.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0
Michael Taaffe,Texas,Ohio State,1,9.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Anthony Hill Jr.,Texas,Ohio State,1,6.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
DeAndre Moore Jr.,Texas,Ohio State,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Maraad Watson,Texas,Ohio State,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Jaylon Guilbeau,Texas,Ohio State,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Travis Shaw,Texas,Ohio State,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Brad Spence,Texas,Ohio State,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Alex January,Texas,Ohio State,1,3.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0.0,0
Ethan Burke,Texas,Ohio State,1,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Cole Brevard,Texas,Ohio State,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Hero Kanu,Texas,Ohio State,1,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Colin Simmons,Texas,Ohio State,1,2.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0.0,0
Ty'Anthony Smith,Texas,Ohio State,1,3.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Zina Umeozulu,Texas,Ohio State,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Malik Muhammad,Texas,Ohio State,1,6.0,4.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Trey Moore,Texas,Ohio State,1,4.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Graceson Littleton,Texas,Ohio State,1,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0
Jelani McDonald,Texas,Ohio State,1,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Derek Williams Jr.,Texas,Ohio State,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
